Price,Close,High,Low,Open,Volume
Ticker,SI=F,SI=F,SI=F,SI=F,SI=F
Date,,,,,
2024-02-28,22.40999984741211,22.5,22.2450008392334,22.44499969482422,5854
2024-02-29,22.666000366210938,22.774999618530273,22.295000076293945,22.440000534057617,517
2024-03-01,23.149999618530273,23.25,22.56999969482422,22.655000686645508,964
2024-03-04,23.77899932861328,23.93000030517578,23.06999969482422,23.155000686645508,996
2024-03-05,23.76300048828125,24.200000762939453,23.665000915527344,23.704999923706055,559
2024-03-06,24.27199935913086,24.27199935913086,23.594999313354492,23.635000228881836,129
2024-03-07,24.3700008392334,24.514999389648438,24.139999389648438,24.165000915527344,187
2024-03-08,24.339000701904297,24.5049991607666,24.299999237060547,24.5049991607666,115
2024-03-11,24.511999130249023,24.511999130249023,24.3700008392334,24.385000228881836,172
2024-03-12,24.194000244140625,24.5049991607666,24.194000244140625,24.46500015258789,42
2024-03-13,24.958999633789062,24.958999633789062,24.21500015258789,24.21500015258789,37
2024-03-14,24.874000549316406,24.979999542236328,24.874000549316406,24.875,20
2024-03-15,25.200000762939453,25.420000076293945,24.825000762939453,24.834999084472656,48
2024-03-18,25.090999603271484,25.2450008392334,25.090999603271484,25.15999984741211,26
2024-03-19,24.964000701904297,25.170000076293945,24.94499969482422,25.170000076293945,20
2024-03-20,24.933000564575195,24.933000564575195,24.933000564575195,24.933000564575195,75
2024-03-21,24.849000930786133,25.735000610351562,24.849000930786133,25.625,69
2024-03-22,24.691999435424805,24.75,24.65999984741211,24.75,20
2024-03-25,24.7450008392334,24.844999313354492,24.719999313354492,24.815000534057617,69
2024-03-26,24.482999801635742,24.649999618530273,24.482999801635742,24.639999389648438,663
2024-03-27,24.625,24.625,24.424999237060547,24.424999237060547,215
2024-03-28,24.797000885009766,24.90999984741211,24.684999465942383,24.684999465942383,20
2024-04-01,24.95400047302246,25.344999313354492,24.809999465942383,25.25,44
2024-04-02,25.804000854492188,25.854999542236328,25.270000457763672,25.299999237060547,59
2024-04-03,26.94499969482422,27.065000534057617,26.209999084472656,26.2549991607666,104
2024-04-04,27.139999389648438,27.270000457763672,26.790000915527344,27.229999542236328,23
2024-04-05,27.399999618530273,27.40999984741211,26.489999771118164,26.489999771118164,39
2024-04-08,27.711999893188477,27.93000030517578,27.711999893188477,27.80500030517578,6
2024-04-09,27.891000747680664,28.1200008392334,27.891000747680664,28.1200008392334,66
2024-04-10,27.961000442504883,27.985000610351562,27.764999389648438,27.764999389648438,5
2024-04-11,28.176000595092773,28.514999389648438,28.0,28.1299991607666,536
2024-04-12,28.2549991607666,29.80500030517578,28.2549991607666,28.510000228881836,354
2024-04-15,28.650999069213867,28.650999069213867,27.770000457763672,28.25,61
2024-04-16,28.31800079345703,28.354999542236328,28.235000610351562,28.354999542236328,76
